,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067,2,1,1,202.0,151.97,1970,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
1,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067,2,1,0,156.0,79.0,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
2,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134.0,150.0,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
3,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94.0,151.97,1970,Yarra,-37.7969,144.9969,Northern Metropolitan,4019
4,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3,1,2,120.0,142.0,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
5,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067,2,1,0,181.0,151.97,1970,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
7,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067,2,1,2,256.0,107.0,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
8,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067,1,1,1,0.0,151.97,1970,Yarra,-37.8008,144.9973,Northern Metropolitan,4019
9,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067,3,1,2,220.0,75.0,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
10,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,0.0,151.97,1970,Yarra,-37.811,145.0067,Northern Metropolitan,4019
11,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
12,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,0.0,94.0,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
13,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,151.97,1970,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
14,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,0.0,151.97,1970,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
15,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
16,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019
17,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
18,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,151.97,1970,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
19,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
21,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,2017-03-18,2.5,3067,3,2,2,0.0,151.97,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019
24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019
26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,0.0,151.97,1970,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,0.0,151.97,1970,Yarra,-37.7994,144.9965,Northern Metropolitan,4019
32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
